brand,bucketed_dwell_times,city,close_date,date_range_end,date_range_start,device_type,distance_from_home,footprint_id,id_store,is_distributor,iso_country_code,latitude,location_name,longitude,median_dwell,msa_code,naics_code,open_date,persistent_id,persistent_id_store,poi_cbg,postal_code,region,related_same_day_brand,related_same_week_brand,street_address,sub_category,ticker,top_category,visit_counts,visitor_country_of_origin,visitor_counts,visitor_daytime_cbgs,visitor_home_aggregation,visitor_home_cbgs,visits_by_day,visits_by_each_hour
H&R Block,"{""<5"":432, ""5-20"":77, ""21-60"":0,""61-240"":25,"">240"":26}",Falls Church,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":407,""android"":102}",4851.0,3606919687883435072,3713491,False,US,38.8850387,"H&R Block, Inc.",-77.1744753,6.0,47900,541213,1970-01-01,A1_HRB,3713491,516105001001,22046,VA,"{""Chipotle"":407,""Grocery Stores"":356,""FedEx"":229,""Mall"":152,""Office Building"":127,""Freshpet"":102,""Honeybaked Ham"":102,""Palm Beach Tan"":102,""24 Hour Fitness"":76,""ExxonMobil"":76,""Rappaport"":76,""Federal Realty"":51,""Golf Courses"":51,""Gyms"":51,""Hair Cuttery"":51,""IHRSA (International Health, Racquet & Sportsclub Association)"":51,""Macerich"":51,""New England Development"":51,""Retail Properties of America"":51}","{""Chipotle"":407,""Grocery Stores"":356,""Mall"":305,""Office Building"":305,""FedEx"":280,""Rappaport"":254,""Western Union"":254,""Moneygram"":229,""Cardtronics"":178,""Freshpet"":152,""Golf Courses"":152,""McDonald's"":152,""Convenience Stores"":127,""ExxonMobil"":127,""Federal Realty"":127,""Macerich"":127,""Starbucks"":127,""7 Eleven"":102,""Coffee Shops"":102}",Broaddale Shopping Center,Tax Preparation Services ,HRB,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",560,"{""US"":508}",508,"{""510594802051"":254,""516105001001"":254}",None,None,"[101,76,51,102,25,102,103]","[0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,25,51,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,26,26,0,0,0,26,0]"
Florists,"{""<5"":50, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Lansdale,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":51}",413.0,3088555599005152352,9692875,False,US,40.2509918,Florists,-75.3308029,None,37980,453110,1970-01-01,A1_NAICS-453110,9692875,420912069042,19446,PA,"{""Chick-fil-A"":51,""Hospitals"":51,""Gas Stations"":25}","{""Chick-fil-A"":51,""Hospitals"":51,""Gas Stations"":25}",204 Brunswick Ct,Florists ,NAICS-453110,Florists ,50,"{""US"":50}",50,"{""420912069042"":50}","{""42091206904"":50}","{""420912069042"":50}","[0,50,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
General Automotive Repair,"{""<5"":76, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":26}",Great Bend,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":25,""ios"":25}",129.0,8487420447009836028,11416163,False,US,38.36874,General Automotive Repair,-98.8167775,890.0,24460,811111,1970-01-01,A1_NAICS-811111,11416163,200099718014,67530,KS,"{""Advan"":25,""Americare Senior Living"":25,""Dollar General"":25,""Dunlop Tires"":25,""Party City"":25,""Sam's Club"":25}","{""Advan"":25,""Airport"":25,""Alamo Rent A Car"":25,""American Airlines"":25,""Americare Senior Living"":25,""AutoZone Repair"":25,""Dollar General"":25,""Dunlop Tires"":25,""GSA Lease"":25,""Gas Stations"":25,""Hawthorn Suites"":25,""Hertz"":25,""Hibbett Sports"":25,""Hilton Garden Inn"":25,""IHG Independent Hotels"":25,""Mall"":25,""Party City"":25,""Sam's Club"":25,""Textron"":25}",5930 Rosewood Dr,General Automotive Repair ,NAICS-811111,Automotive Repair and Maintenance,102,"{""US"":51}",51,"{""200099714002"":51}","{""20009971801"":51}","{""200099718014"":51}","[0,0,25,0,25,26,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,26,26,26,26,0,26,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0]"
Gerber Collision,"{""<5"":51, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Winston Salem,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":51}",8528.0,8966140282361191491,13223012,False,US,36.1840885,Gerber Collision,-80.2624105,None,49180,811111,1970-01-01,A1_TGB-A-GERBR,13223012,370670028061,27105,NC,"{""Cardtronics"":25,""Golf Courses"":25,""Harris Teeter Pharmacy"":25,""Mall"":25,""Restaurants"":25,""Saul Centers"":25,""Verizon"":25,""Western Union"":25}","{""Golf Courses"":51,""Armstrong Flooring"":25,""Belk"":25,""Best Western"":25,""CBL & Associates"":25,""Cardtronics"":25,""CrossFit"":25,""EVTS"":25,""Gyms"":25,""Harris Teeter Pharmacy"":25,""Keds"":25,""LensCrafters"":25,""Live Nation Promoted Venues"":25,""Lowe's Foods"":25,""Mall"":25,""Minuteman Press"":25,""Pandora"":25,""Restaurants"":25,""Saul Centers"":25}",1000 Pinebrook Knolls Dr,General Automotive Repair ,BOYD.TO-GERBR,Automotive Repair and Maintenance,51,"{""US"":51}",51,"{""370670028061"":51}",None,None,"[0,0,0,25,25,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Ameriprise Financial,"{""<5"":76, ""5-20"":0, ""21-60"":51,""61-240"":0,"">240"":0}",Manasquan,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":51}",5144.0,1926019123446515555,2426469,False,US,40.1172624,"Ameriprise Financial, Inc.",-74.0532601,27.0,35620,523930,1970-01-01,A1_AMP,2426469,340258093013,08736-3648,NJ,None,"{""Bon-Ton Stores"":51,""Federal Realty"":51,""Mall"":51,""Acme"":25,""BP"":25,""Dunkin Donuts"":25,""Gamestop"":25,""Grocery Stores"":25,""Home Depot"":25,""Macerich"":25,""Moneygram"":25,""Sprint"":25,""Supercuts"":25,""Travelers"":25,""U.S. Ports"":25,""Whole Foods"":25}",147 Union Ave Ste 203,Investment Advice ,AMP,Other Financial Investment Activities,127,"{""US"":51}",51,None,"{""34025808701"":51}","{""340258087012"":51}","[25,25,51,25,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Sure Stay Hotels,"{""<5"":5232, ""5-20"":76, ""21-60"":26,""61-240"":102,"">240"":177}",Tulsa,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":4626,""ios"":661}",12301.0,7676634008132369893,11671365,False,US,36.089314,Sure Stay Hotels,-95.8380235,67.0,46140,721110,1970-01-01,A1_BW-A-SSTAY,11671365,401430090191,74146-6200,OK,"{""Super 8"":5032,""Mall"":1652,""Western Union"":1067,""Convenience Stores"":1042,""Truck Stops"":864,""Moneygram"":737,""Cardtronics"":712,""Gas Stations"":712,""Kum & Go"":686,""Restaurants"":686,""Dunlop Tires"":661,""Walmart"":635,""Hotel"":610,""McDonald's"":585,""QuikTrip"":585,""Universities and Colleges"":585,""Hospitals"":559,""Golf Courses"":508,""Hankook Tire"":432}","{""Super 8"":5032,""Mall"":3889,""Moneygram"":3253,""Dunlop Tires"":3202,""Walmart"":3050,""Western Union"":3024,""Convenience Stores"":2847,""Gas Stations"":2567,""Cardtronics"":2389,""QuikTrip"":1932,""Restaurants"":1932,""Freshpet"":1906,""McDonald's"":1881,""Universities and Colleges"":1855,""Truck Stops"":1703,""Kum & Go"":1652,""Hotel"":1627,""Sonic"":1525,""Golf Courses"":1500}",12416 E 51st Street,Hotels (except Casino Hotels) and Motels ,BW-A-SSTAY,Traveler Accommodation,5612,"{""US"":5286}",5286,"{""401430090191"":1147,""401430025001"":535,""401430090083"":535,""401430085024"":382,""401430113002"":306,""401430025002"":229,""401430090181"":229,""401430090102"":229,""401430069061"":154,""401430075282"":154,""401430076161"":154,""401430074142"":154,""401450304063"":154,""401450305101"":154,""401430090151"":154,""401430074133"":154,""401430073062"":154,""401430090171"":154,""401430069011"":154}","{""40145030406"":499,""40143009008"":499,""40143009018"":298,""40143009010"":298,""40143009015"":298,""40145030407"":298,""40143007409"":298,""40143007306"":298,""40143009014"":298,""40143009019"":298,""40143007413"":298,""40143009017"":201,""40145030603"":201,""40143005809"":201,""40145030604"":201,""40145030601"":201,""40143007656"":201,""40143006711"":200,""40143008502"":200}","{""401430090083"":499,""401450304071"":298,""401430090102"":298,""401430090141"":298,""401430090181"":298,""401430074091"":298,""401430090191"":298,""401430073062"":298,""401450304061"":298,""401430090151"":298,""401430074133"":298,""401430058093"":201,""401450306012"":201,""401430067112"":201,""401430076562"":201,""401430085024"":201,""401450306041"":201,""401450304063"":201,""401450306032"":200,""401430090171"":200}","[531,1009,1043,711,932,767,620]","[0,0,0,0,25,25,51,25,0,0,25,0,76,0,25,126,0,51,51,51,0,0,25,25,0,50,50,25,25,25,126,76,50,76,101,50,151,50,0,50,76,101,25,76,25,25,0,0,25,0,0,0,0,0,51,76,51,153,76,102,76,51,0,102,127,102,25,25,25,0,25,0,0,0,0,0,0,25,25,25,51,25,51,25,0,76,51,102,102,51,25,25,51,0,0,0,25,0,0,0,0,0,25,76,101,76,50,50,101,50,76,50,76,25,76,76,50,50,0,76,0,0,0,26,26,77,26,0,51,51,0,51,153,26,26,26,77,102,51,26,51,0,26,0,26,26,26,26,0,26,0,26,103,0,0,26,52,52,0,77,26,52,26,77,26,0,26,0]"
Abercrombie and Fitch,"{""<5"":4985, ""5-20"":203, ""21-60"":178,""61-240"":152,"">240"":127}",Universal City,2025-04-23,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":3050,""android"":2287}",54537.0,9120564108822024374,1150176,False,US,34.1364326,Abercrombie & Fitch Co.,-118.3533981,5.0,31080,448140,1970-01-01,A1_ANF,1150176,060379800391,91608,CA,"{""Mall"":5337,""Universal Studios"":5337,""IT'SUGAR"":1347,""Restaurants"":1296,""IMAX"":1220,""Hot Topic"":890,""Office Building"":890,""Hotel"":737,""Golf Courses"":559,""Starbucks"":559,""Live Nation Promoted Venues"":483,""Moneygram"":432,""Western Union"":432,""National Forests"":356,""Subway"":356,""Cardtronics"":330,""Sheraton"":305,""Dunlop Tires"":280,""Skechers"":280}","{""Mall"":5337,""Universal Studios"":5337,""Restaurants"":2872,""Cardtronics"":2338,""Freshpet"":2135,""Western Union"":2109,""Starbucks"":2033,""Office Building"":2008,""Moneygram"":1982,""Hotel"":1855,""IMAX"":1652,""Dunlop Tires"":1627,""IT'SUGAR"":1576,""Golf Courses"":1525,""Live Nation Promoted Venues"":1525,""National Forests"":1423,""Universities and Colleges"":1322,""Target"":1195,""Gyms"":1144}",100 Universal City Plaza,Family Clothing Stores ,ANF,Clothing Stores ,5645,"{""US"":5337}",5337,"{""060379800391"":4992,""060371241051"":345}","{""06037980039"":2048,""49035113024"":823,""32003006700"":822,""06037125322"":822,""06037920045"":822}","{""060379800391"":2048,""490351130241"":823,""320030067001"":822,""060379200453"":822,""060371253222"":822}","[683,605,534,736,1032,1202,852]","[0,0,0,0,0,0,0,0,51,25,76,51,25,76,76,51,51,101,76,76,51,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,151,50,50,50,101,25,101,25,50,25,0,0,0,0,0,0,0,25,0,0,25,51,0,51,51,51,25,51,51,51,51,0,102,25,0,0,0,0,0,0,0,0,0,0,25,51,25,102,51,76,0,51,76,76,76,102,25,25,0,0,0,0,0,0,25,25,0,25,0,50,25,76,25,101,25,25,25,126,151,201,50,101,76,0,0,0,0,26,0,0,0,0,26,0,26,102,128,26,102,26,51,153,128,128,128,179,51,26,26,0,0,0,0,0,0,0,0,52,26,52,77,26,26,26,26,129,77,77,77,52,77,52]"
Amazing Lash Studio,"{""<5"":457, ""5-20"":76, ""21-60"":25,""61-240"":0,"">240"":0}",Rancho Santa Margarita,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":381,""ios"":152}",2534.0,3411665834715384520,5821527,False,US,33.641189,Amazing Lash Studio,-117.595692,4.0,31080,812112,1970-01-01,A1_LASH-A,5821527,060590320541,92688,CA,"{""Mall"":432,""Freshpet"":178,""Cardtronics"":152,""Sprint"":127,""Target"":127,""Cinepolis"":102,""Shell Oil"":102,""Subway"":102,""Trader Joe's"":102,""Equity Residential"":76,""Keds"":76,""Starbucks"":76,""Westwood Financial"":76,""Blue Buffalo"":51,""BoA"":51,""Dunlop Tires"":51,""Greystar"":51,""Hanger Prosthetics & Orthotics"":51,""Hospitals"":51}","{""Mall"":534,""Cardtronics"":356,""Freshpet"":356,""Starbucks"":330,""Moneygram"":280,""Dunlop Tires"":254,""Keds"":254,""Target"":254,""Sprint"":229,""Trader Joe's"":229,""Western Union"":229,""Panera Bread"":178,""Shell Oil"":178,""Shop Irvine Company"":178,""Westwood Financial"":178,""Cinepolis"":152,""Coffee Shops"":152,""Travelers"":152,""Walmart"":152}",30622 Santa Margarita Pkwy.,Beauty Salons ,LASH-A,Personal Care Services ,559,"{""US"":534}",534,"{""060590320342"":267,""060590320511"":267}","{""06059032051"":267,""06059032050"":267}","{""060590320511"":267,""060590320503"":267}","[25,76,51,127,126,102,52]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0]"
Optical Goods Stores,"{""<5"":381, ""5-20"":76, ""21-60"":25,""61-240"":228,"">240"":0}",Ambridge,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":508,""ios"":25}",1341.0,8292609613064838164,8442167,False,US,40.5957909,Optical Goods Stores,-80.2305908,95.0,38300,446130,1970-01-01,A1_NAICS-446130,8442167,420076042001,15003,PA,"{""Convenience Stores"":203,""Sheetz"":127,""Wesbanco"":102,""ICBA"":76,""Mall"":76,""Coffee Shops"":51,""Do It Best"":51,""Gyms"":51,""Moneygram"":51,""Outdoor Shops"":51,""Pennzoil"":51,""Taco Bell"":51,""Universities and Colleges"":51,""Western Union"":51,""Whirlpool"":51,""Wineries"":51,""ACDelco"":25,""Anytime Fitness"":25,""Brewers Association"":25}","{""Convenience Stores"":432,""Sheetz"":330,""Mall"":254,""Cardtronics"":178,""Moneygram"":178,""Walmart"":178,""Western Union"":178,""Dunlop Tires"":152,""Freshpet"":152,""Gumberg Asset Management"":152,""Pennzoil"":152,""Restaurants"":152,""Gas Stations"":127,""Giant Eagle"":127,""ICBA"":127,""McDonald's"":127,""Wesbanco"":127,""GetGo Cafe + Market"":102,""Pizza Hut"":102}",295 13Th St,Optical Goods Stores ,NAICS-446130,Health and Personal Care Stores ,710,"{""US"":534}",534,"{""420076039002"":178,""420076042001"":178,""420076039001"":178}","{""42007604200"":334,""42007603900"":200}","{""420076042001"":334,""420076039001"":200}","[126,126,153,102,101,77,26]","[0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,25,25,0,0,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,51,51,76,25,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,25,25,25,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0]"
E-Z Mart,"{""<5"":534, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Wise,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""ios"":483,""android"":51}",4297.0,8722212436496821205,6493602,False,US,32.908067,E-Z Mart,-96.568857,2.0,19100,447110,1970-01-01,A1_EZMA-A,6493602,481130181402,75088,TX,"{""Freshpet"":127,""Dunlop Tires"":102,""Moneygram"":102,""Western Union"":102,""Cardtronics"":76,""LA Fitness"":76,""Mall"":76,""Walmart"":76,""Convenience Stores"":51,""Event Venues"":51,""Global Net Lease"":51,""IHRSA (International Health, Racquet & Sportsclub Association)"":51,""Legacy Commercial Property"":51,""Shell Oil"":51,""Target"":51,""The American Red Cross"":51,""Walgreens"":51,""Advance Auto Parts"":25,""Airport"":25}","{""Mall"":381,""Freshpet"":356,""Dunlop Tires"":280,""Moneygram"":280,""Western Union"":280,""Cardtronics"":254,""Walmart"":254,""Convenience Stores"":178,""Shell Oil"":178,""Global Net Lease"":152,""Simon Mall"":152,""Gas Stations"":127,""Golf Courses"":127,""LA Fitness"":127,""McDonald's"":127,""Pennzoil"":127,""Target"":127,""7 Eleven"":102,""Chick-fil-A"":102}",3501 Lakeview Pkwy,Gasoline Stations with Convenience Stores ,EZMA-A,Gasoline Stations ,534,"{""US"":534}",534,"{""481130181331"":267,""481130181571"":267}","{""48113018157"":534}","{""481130181571"":534}","[51,151,25,25,76,102,103]","[0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,25,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,52,0,26,0,0,0,0,0,0,0,0]"
Little Caesars,"{""<5"":560, ""5-20"":26, ""21-60"":25,""61-240"":0,"">240"":0}",Columbia,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":381,""ios"":178}",11164.0,8748807169551006420,5534378,False,US,35.6030065,Little Caesar Enterprises Inc.,-87.0633555,3.0,34980,722513,1970-01-01,A1_LCAESAR-A,5534378,471190107002,38401,TN,"{""Western Union"":254,""Mall"":229,""Kroger"":203,""Gas Stations"":127,""Moneygram"":127,""Armstrong Flooring"":102,""Freshpet"":102,""Kroger Fuel Center"":102,""McDonald's"":102,""Restaurants"":102,""Smoothie and Juice Bars"":102,""Dunlop Tires"":76,""Lowe's"":76,""Truck Stops"":76,""Walgreens"":76,""Walmart"":76,""Advance America"":51,""Cardtronics"":51,""Chick-fil-A"":51}","{""Mall"":432,""Western Union"":381,""Dunlop Tires"":305,""Kroger"":305,""Gas Stations"":280,""Moneygram"":280,""McDonald's"":254,""Pennzoil"":254,""Walmart"":254,""Kroger Fuel Center"":229,""Armstrong Flooring"":203,""Convenience Stores"":203,""Restaurants"":203,""Sodastream"":203,""Freshpet"":152,""Hospitals"":152,""Smoothie and Juice Bars"":152,""Taco Bell"":152,""Truck Stops"":152}",1202 S James Campbell Blvd,Limited-Service Restaurants ,LCAESAR-A,Restaurants and Other Eating Places,610,"{""US"":559}",559,"{""471190103011"":280,""471190102014"":279}","{""47119011200"":187,""47119010700"":186,""47119010301"":186}","{""471190103011"":187,""471190112001"":186,""471190107002"":186}","[76,202,51,25,0,179,77]","[0,0,0,0,0,0,0,25,51,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,50,25,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,0,0,0,51,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0]"
Salvation Army,"{""<5"":558, ""5-20"":51, ""21-60"":0,""61-240"":51,"">240"":76}",London,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":457,""ios"":102}",16344.0,8160737692727852736,6244335,False,US,41.356635,The Salvation Army,-72.096716,120.0,35980,453310,1970-01-01,A1_SLVA-A,6244335,090116905002,06320,CT,"{""Boys & Girls Clubs of America"":534,""Mall"":127,""Universities and Colleges"":127,""Event Venues"":102,""HRSA Data Warehouse"":76,""Hotel"":76,""Moneygram"":76,""Police Protection"":76,""Restaurants"":76,""Western Union"":76,""Cedar Realty Trust"":51,""Dunlop Tires"":51,""Freshpet"":51,""Gyms"":51,""Hankook Tire"":51,""Holiday Inn"":51,""KPR Properties"":51,""Shoprite"":51,""Sodastream"":51}","{""Boys & Girls Clubs of America"":534,""Mall"":432,""Restaurants"":229,""Dunkin Donuts"":203,""HRSA Data Warehouse"":203,""Hotel"":203,""Stop & Shop"":203,""Convenience Stores"":178,""Event Venues"":178,""Grocery Stores"":178,""Moneygram"":178,""Western Union"":178,""Freshpet"":152,""LAZ Parking"":152,""Police Protection"":152,""Universities and Colleges"":152,""Brixmor Property Group"":127,""Dunlop Tires"":127,""Holiday Inn"":127}",11 Governor Winthrop Blvd.,Used Merchandise Stores ,SLVA-A,Used Merchandise Stores ,736,"{""US"":559}",559,"{""090116907001"":280,""090116905002"":279}",None,None,"[76,151,254,127,50,77,0]","[0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,25,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,51,25,76,76,51,76,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,51,0,0,51,51,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Grocery Stores,"{""<5"":611, ""5-20"":25, ""21-60"":0,""61-240"":51,"">240"":127}",Miami,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":534,""ios"":25}",3439.0,8580947492354460525,13105851,False,US,25.5659335,Davis Grocery,-80.386828,18.0,33100,445110,1970-01-01,A1_GROCERY-A,13105851,120860104001,33170-2803,FL,"{""Western Union"":330,""Mall"":254,""Hotel"":203,""Moneygram"":203,""Convenience Stores"":127,""Office Building"":127,""Sunshine Gasoline Distributors"":127,""U Haul"":127,""Cardtronics"":102,""Family Dollar Stores"":102,""Freshpet"":102,""Home Depot"":102,""Hospitals"":102,""McDonald's"":102,""Nightclubs"":102,""Publix"":102,""Regency Centers"":102,""Restaurants"":102,""U.S. Ports"":102}","{""Western Union"":508,""Mall"":457,""Restaurants"":381,""Hotel"":330,""Moneygram"":330,""Publix"":330,""Cardtronics"":305,""U Haul"":280,""Convenience Stores"":254,""Freshpet"":254,""Regency Centers"":254,""Sunshine Gasoline Distributors"":254,""Office Building"":229,""Walgreens"":229,""Hospitals"":203,""IHRSA (International Health, Racquet & Sportsclub Association)"":203,""McDonald's"":203,""U.S. Ports"":203,""Walmart"":203}",21630 SW 120th Ave,Supermarkets and Other Grocery (except Convenience) Stores ,GROCERY-A,Grocery Stores ,815,"{""US"":559}",559,"{""120860104001"":559}",None,None,"[25,151,127,127,76,153,155]","[0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,25,25,50,76,50,25,25,25,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,25,51,0,25,0,0,25,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,26,77,51,26,0,0,26,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52,52,26,0,0,26,52,0,26,26,0]"
